License/Kind/GeoStudio,Feature GUID,Description,Is Connect,Tag
3348,65B9BAFF-2758-48C9-ACC6-24AEC348F3B6,2DAnalysis-SlopeMaterialModel-CombinedSFnDatum,Yes,update
3348,21B4046E-B165-402E-890B-8A0C53739882,2DAnalysis-SlopeMaterialModel-Shansep,Yes,update
3348,0C3AB0DE-E51C-4031-8CA3-EA79009930CA,2DAnalysis-SlopeMaterialModel-MohrCoulombSpatial,Yes,update
3348,0CAC05F7-AFB5-4694-BDFD-67891CC751A6,2DAnalysis-SlopeMaterialModel-CompoundStrength,Yes,update
3348,33E428C2-0224-4D75-ABE2-410250F52B05,2DAnalysis-SlipSurfaceOption-None,Yes,update
3348,63C86CEF-545B-49F5-80D0-7BE98437184B,2DAnalysis-SlipSurfaceOption-GridAndRadius,Yes,update
3348,D8E1CAC7-F784-4A70-9E62-89C105A96B78,2DAnalysis-SlipSurfaceOption-FullySpecified,Yes,update
3348,B6177093-A7E4-436F-9384-A9F2C9BC53F6,2DAnalysis-SlipSurfaceOption-FullySpecifiedGridColumns,Yes,update
3348,B9DD8CEB-5DEA-4205-B96D-E1E36F87211A,2DAnalysis-SlipSurfaceOption-BlockSpecified,Yes,update
3348,2B4BE6A3-D615-48F5-9497-E0259889F27A,2DAnalysis-SlipSurfaceOption-EntryAndExit,Yes,update
3348,8C614E1B-91D1-4A7C-9A85-0AC3C9292E74,2DAnalysis-SlipSurfaceOption-FromOtherAnalysis,Yes,update
3348,3AF3A806-A21A-4FAA-BCF6-61289A25DD0B,2DAnalysis-SlipSurfaceOption-AutomaticSearch,Yes,update
3348,914C8015-5A4B-4099-9DE5-4731E1F2A304,2DAnalysis-SlipSurfaceOption-NonCircularAutomaticSearch,Yes,update
3348,587B690B-1CE4-4E51-A341-DD6ECB76BA5B,2DAnalysis-SlipSurfaceDirection-LeftToRight,Yes,update
3348,F1A8E901-2257-4B05-BDCF-224B4AADDA5E,2DAnalysis-SlipSurfaceDirection-RightToLeft,Yes,update
3348,F1C5F332-2B4F-4E20-95AD-D96A4F3E6FB0,2DAnalysis-Method-None,Yes,update
3348,DB067263-D57B-4915-A454-86D952BFA04E,2DAnalysis-Method-Slope-Ordinary,Yes,update
3348,64AE5BE9-4A09-4AC2-9AEF-53291C417EA0,2DAnalysis-Method-Slope-Spencer,Yes,update
3348,F8AC0CE0-41CD-4459-9E67-ACEB1BD77013,2DAnalysis-Method-Slope-Morgenstern,Yes,update
3348,C9665BF0-7838-4AAB-81BD-C403A6C130DE,2DAnalysis-Method-Slope-Corps1,Yes,update
3348,FBE719B7-DDA6-4ECF-903F-1379FBDD52E5,2DAnalysis-Method-Slope-Corps2,Yes,update
3348,02EE5351-6580-496C-BEB8-4557876CE444,2DAnalysis-Method-Slope-Lowe,Yes,update
3348,3C638241-A332-4B3E-9E0F-A878AD398E06,2DAnalysis-Method-Slope-Janbugen,Yes,update
3348,A931CC84-5C0B-4997-889C-9633030EB407,2DAnalysis-Method-Slope-Fe-Sigma,Yes,update
3348,4160640F-D08A-4632-9A5C-AF93767F7D6B,2DAnalysis-Method-Slope-Fe-QuakeStatic,Yes,update
3348,ECFA6698-05DB-40DA-8B9C-C45CA3D9A764,2DAnalysis-Method-Slope-Fe-QuakeDynamic,Yes,update
3348,82B73E62-F9AA-48C0-921F-691F03D1EAF1,2DAnalysis-Method-Slope-Sarma,Yes,update
3348,F518BD1F-F119-4D87-AB5F-C5A4034E4C89,2DAnalysis-Method-Slope-Bishop,Yes,update
3348,F554CEE6-6400-47AC-AB23-464A585BBB8C,2DAnalysis-Method-Slope-Janbu,Yes,update
3348,8F74F8A3-91B6-4424-9293-E6DE2F4F3882,2DAnalysis-Method-SteadyState,Yes,update
3348,8F72D244-542F-472B-9B32-7F0ABB66EC0B,2DAnalysis-Method-Transient,Yes,update
3348,10615CD7-CB09-40DD-A0A1-C97A708527C5,2DAnalysis-Method-Consolidation,Yes,update
3348,E6BDA16E-A2FA-4BC6-AA10-B7953DF3F502,2DAnalysis-Method-DensityDependent,Yes,update
3348,B266DBD5-0CCB-4BE9-B36F-7C5828D81BFB,2DAnalysis-Method-Advdisp,Yes,update
3348,4FEF5CC9-8FC9-42F9-9961-82B02D570F5C,2DAnalysis-Method-TrackForward,Yes,update
3348,004502D1-7B0C-4DD6-97B0-8C4CEA4F809C,2DAnalysis-Method-TrackBackward,Yes,update
3348,4B8BEBC5-6D95-4F48-AEDB-1F6A3230848D,2DAnalysis-Method-Dynamic,Yes,update
3348,B284675C-2866-4D33-96BE-B391F60614BC,2DAnalysis-Method-Load,Yes,update
3348,9E968E41-EB08-49F5-B971-3E3584472A7B,2DAnalysis-Method-StressRedist,Yes,update
3348,338969F5-0B65-488A-BC2C-49C4C7DEDB82,2DAnalysis-Method-Insitu,Yes,update
3348,FE865F3A-5DF6-4DED-95DB-D9C63A3EA453,2DAnalysis-Method-Insitu2,Yes,update
3348,07B6186A-36C3-4A50-B8D3-4DED766C83A4,2DAnalysis-Method-Convective,Yes,update
3348,0643C068-191B-4C9E-ABCD-7120F1534096,2DAnalysis-Method-NonLinearDynamic,Yes,update
3348,AD847AD5-6DA4-438A-B493-AEBBF31FEFE1,2DAnalysis-Method-Static,Yes,update
3348,4E44BE4C-4592-4C3F-B715-BB6094889FB5,3DAnalysis-Method-None,Yes,update
3348,54135E3D-4CC9-4155-B83F-CA91B11D1C2C,3DAnalysis-Method-Slope-Ordinary,Yes,update
3348,4B06A0D9-0724-4B50-ABF4-31BC9D220B19,3DAnalysis-Method-Slope-Spencer,Yes,update
3348,83551B0D-D0DD-44D7-A6AF-9265249DC556,3DAnalysis-Method-Slope-Morgenstern,Yes,update
3348,92890869-2359-40A6-A539-97396F7AAECD,3DAnalysis-Method-Slope-Corps1,Yes,update
3348,F42E1B71-C055-4265-B5D0-9FECBED916B6,3DAnalysis-Method-Slope-Corps2,Yes,update
3348,937BB0E0-3AFF-460C-AE32-62C775180891,3DAnalysis-Method-Slope-Lowe,Yes,update
3348,1C0560AC-E13F-433A-AD7D-B3615172C6A3,3DAnalysis-Method-Slope-Janbugen,Yes,update
3348,945EF864-4F2F-4F79-9CAE-F44094C5CC65,3DAnalysis-Method-Slope-Fe-Sigma,Yes,update
3348,9F335812-A8BE-47CB-8B88-A656422AD3F0,3DAnalysis-Method-Slope-Fe-QuakeStatic,Yes,update
3348,7E6D3B7C-A029-4209-B6A4-503B770EDC7E,3DAnalysis-Method-Slope-Fe-QuakeDynamic,Yes,update
3348,F196A20A-7B87-470F-81BF-09694BBFBB9C,3DAnalysis-Method-Slope-Sarma,Yes,update
3348,38EF7ABF-E7FE-4466-B703-02D8247646DC,3DAnalysis-Method-Slope-Bishop,Yes,update
3348,10C8FB90-C21A-45F5-984B-257A43BFFD51,3DAnalysis-Method-Slope-Janbu,Yes,update
3348,E6F61174-FFDC-4BB4-A6F4-F7A59AB8760E,3DAnalysis-Method-SteadyState,Yes,update
3348,7EF564A8-DE6F-4220-AB3E-D77AF4D7482D,3DAnalysis-Method-Transient,Yes,update
3348,D28D3C43-9E30-44D7-A440-B884B28AB4DD,3DAnalysis-Method-Consolidation,Yes,update
3348,99231F2D-679A-4F88-B3ED-8A2651C0625B,3DAnalysis-Method-DensityDependent,Yes,update
3348,411ECEE0-0CCF-4D6D-9533-7248453D1BE0,3DAnalysis-Method-Advdisp,Yes,update
3348,7FE3B3F8-F494-4924-B1FE-69DBE95F8C4D,3DAnalysis-Method-TrackForward,Yes,update
3348,784D43B3-3F4F-42FE-B405-3C2EA419B692,3DAnalysis-Method-TrackBackward,Yes,update
